No.,file_name,law_type,year,law_name,Số hiệu,lĩnh_vực,status,file_path,file_type,"SỬA ĐỔI, BỔ SUNG",_so_hieu_key,CHECK_META_IN_AUTH,CHECK_AUTH_IN_META,RECORD_TYPE,IN_AUTHORITATIVE
1,Bộ luật-100-2015-QH13,BỘ LUẬT,2015,BỘ LUẬT HÌNH SỰ,100/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Bộ luật-100-2015-QH13.docx,.docx,,100/2015/QH13,OK,,METADATA_ROW,True
2,Bộ luật-101-2015-QH13,BỘ LUẬT,2015,BỘ LUẬT TỐ TỤNG HÌNH SỰ,101/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Bộ luật-101-2015-QH13.docx,.docx,,101/2015/QH13,OK,,METADATA_ROW,True
3,Bộ luật-45-2019-QH14,BỘ LUẬT,2019,BỘ LUẬT LAO ĐỘNG,45/2019/QH14,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Bộ luật-45-2019-QH14.docx,.docx,,45/2019/QH14,OK,,METADATA_ROW,True
4,Bộ luật-91-2015-QH13,BỘ LUẬT,2015,BỘ LUẬT DÂN SỰ,91/2015/QH13,economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Bộ luật-91-2015-QH13.docx,.docx,,91/2015/QH13,OK,,METADATA_ROW,True
5,Bộ luật-92-2015-QH13,BỘ LUẬT,2015,BỘ LUẬT TỐ TỤNG DÂN SỰ,92/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Bộ luật-92-2015-QH13.docx,.docx,,92/2015/QH13,OK,,METADATA_ROW,True
6,Bộ luật-95-2015-QH13,BỘ LUẬT,2015,BỘ LUẬT HÀNG HẢI VIỆT NAM,95/2015/QH13,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Bộ luật-95-2015-QH13.docx,.docx,,95/2015/QH13,OK,,METADATA_ROW,True
7,Luật-01-2016-QH14,LUẬT,2016,LUẬT ĐẤU GIÁ TÀI SẢN,01/2016/QH14,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-01-2016-QH14.docx,.docx,,01/2016/QH14,OK,,METADATA_ROW,True
8,Luật-01-2021-QH15,LUẬT,2021,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU VÀ PHỤ LỤC DANH MỤC CHỈ TIÊU THỐNG KÊ QUỐC GIA CỦA LUẬT THỐNG KÊ",01/2021/QH15,economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-01-2021-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",01/2021/QH15,OK,,METADATA_ROW,True
9,Luật-02-2011-QH13,LUẬT,2011,LUẬT KHIẾU NẠI,02/2011/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-02-2011-QH13.docx,.docx,,02/2011/QH13,OK,,METADATA_ROW,True
10,Luật-02-2016-QH14,LUẬT,2016,"LUẬT TÍN NGƯỠNG, TÔN GIÁO",02/2016/QH14,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-02-2016-QH14.docx,.docx,,02/2016/QH14,OK,,METADATA_ROW,True
11,Luật-02-2021-QH15,LUẬT,2021,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA BỘ LUẬT TỐ TỤNG HÌNH SỰ",02/2021/QH15,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-02-2021-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",02/2021/QH15,OK,,METADATA_ROW,True
12,Luật-03-2007-QH12,LUẬT,2007,"LUẬT PHÒNG, CHỐNG BỆNH TRUYỀN NHIỄM",03/2007/QH12,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-03-2007-QH12.docx,.docx,,03/2007/QH12,OK,,METADATA_ROW,True
